Ticker,FirstMention,InitialPrice,CurrentPrice,ChangePct
CPSH,2026-01-19 02:38:48,5.36,7.78,45.15
CIEN,2026-03-17 20:38:10,370.05,535.63,44.75
CVV,2026-01-19 02:38:48,4.18,6.02,44.02
OXINF,2026-03-20 16:56:10,30.4505,43.8,43.84
ALNT,2026-05-13 07:00:30,62.4705,89.8,43.75
ASGLY,2026-05-10 15:30:58,7.15,10.16,42.1
KLAC,2026-01-23 00:02:53,1508.891,2131.1001,41.24
JBL,2026-03-19 14:58:23,265.2501,373.82,40.93
TE,2026-01-05 20:34:29,8.2,11.5,40.24
PWR,2026-02-07 15:12:56,514.4589,719.17,39.79
FLNC,2026-02-15 23:48:07,17.78,24.85,39.76
NEO,2026-03-23 15:37:02,8.1,11.31,39.63
FSLR,2026-02-15 23:48:07,226.05,314.95,39.33
EOSE,2026-02-28 00:41:05,5.9,8.2,38.98
AA,2026-01-26 23:14:41,58.3609,80.86,38.55
BOT,2026-05-13 07:00:30,21.01,28.97,37.89
MOD,2026-02-07 18:53:42,219.13,301.21,37.46
MPWR,2026-02-07 18:53:42,1203.7733,1652.6,37.28
IREN,2025-11-18 00:12:21,48.85,65.48,34.04
RRX,2026-01-16 15:57:59,159.7955,213.86,33.83
LPTH,2026-01-15 01:53:03,13.17,17.62,33.79
PKE,2026-01-19 02:38:48,24.9094,32.92,32.16
ONTO,2026-01-23 00:02:53,211.88,279.98,32.14
CRS,2026-03-23 15:37:02,373.0158,492.62,32.06
LRCX,2026-04-30 09:00:27,257.86,336.41,30.46
ALMU,2026-01-17 16:07:09,20.55,26.8,30.41
POWL,2026-04-09 18:27:36,230.7306,300.06,30.05
VLN,2026-01-09 22:45:15,2.48,3.22,29.84
FEIM,2026-01-19 02:38:48,56.18,72.42,28.91
ANET,2026-01-23 09:09:49,136.34,174.37,27.89
SHMN,2026-03-14 05:59:20,0.0009,0.0012,27.78
PL,2026-03-21 00:03:20,33.82,43.13,27.53
ATEYY,2026-04-06 01:24:11,138.95,177.0,27.38
KOPN,2026-05-15 22:49:56,5.05,6.39,26.53
CDNS,2026-04-21 02:57:12,325.84,411.68,26.34
ACMR,2026-02-11 22:58:00,70.68,88.86,25.72
